2021-03-16 11:00:33 DEBUG request log not activated
2021-03-16 11:00:33 DEBUG response log not activated
2021-03-16 11:00:33 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-16 11:00:33 DEBUG Reading projects...
2021-03-16 11:00:33 DEBUG   project - nonprod-project
2021-03-16 11:00:33 DEBUG Processing file: nonprod-project/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthreadinessrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-crime
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftelasticsearchstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftccdstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthlivenessrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idamhealthrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftccdperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccddatastoreinsertintocasedatarequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdsavecasedetailscaseworkerrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/WebAppAvgResponseTimeRequests
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftcivilmoneyclaimsstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfinancialremedystg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftcivilunspecstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaycaseworkerjurisdictionsrequestcountsu
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcservicecalcserviceccdaddcaseuserrolesrequestco
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfamilypubliclawperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftdivorceperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcservicecalcserviceidamhealthlivenessrequestcou
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthreadinessrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/dmstorecreateformrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idamspringboothealthrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftaccessmanagementstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccduicasesearchcasesrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idamspringboothealthrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollergetcaserequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcserviceidamhealthrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercasesbyidrequestcountfail
