2021-03-31 21:41:37 DEBUG request log not activated
2021-03-31 21:41:37 DEBUG response log not activated
2021-03-31 21:41:37 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-31 21:41:37 DEBUG Reading projects...
2021-03-31 21:41:37 DEBUG   project - apimgmt
2021-03-31 21:41:37 DEBUG   project - config/.logs
2021-03-31 21:41:37 DEBUG   project - config/nonprod
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/management-zone/management-zone.yaml
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Probate-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ImmigrationandAsylum-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-FinancialRemedy-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-CivilUnspec-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-CivilMoneyClaims-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-PaloNon-ProdPerfLDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-LegalRepCMCUnspec
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-IDAM-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-FamilyPublicLaw-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ImmigrationandAsylum-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ECM-LDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Bulkprint-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-CCD-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-PCQ-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-EvidenceManagement-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-BulkScan-Staging
